Year,GEO,VALUE
2015,Alberta,757553
2015,British Columbia,283797
2015,Canada,2446114
2015,Manitoba,77402
2015,New Brunswick,37071
2015,Newfoundland and Labrador,60897
2015,Northwest Territories,15725
2015,Nova Scotia,43982
2015,Nunavut,7524
2015,Ontario,633252
2015,Prince Edward Island,5295
2015,Quebec,374580
2015,Saskatchewan,143531
2015,Yukon,5506
2016,Alberta,751934
2016,British Columbia,285974
2016,Canada,2454819
2016,Manitoba,79261
2016,New Brunswick,36590
2016,Newfoundland and Labrador,67134
2016,Northwest Territories,15532
2016,Nova Scotia,44230
2016,Nunavut,7737
2016,Ontario,637821
2016,Prince Edward Island,5279
2016,Quebec,373666
2016,Saskatchewan,144239
2016,Yukon,5423
2017,Alberta,748437
2017,British Columbia,290839
2017,Canada,2475883
2017,Manitoba,81377
2017,New Brunswick,36785
2017,Newfoundland and Labrador,69613
2017,Northwest Territories,14947
2017,Nova Scotia,44381
2017,Nunavut,8356
2017,Ontario,646544
2017,Prince Edward Island,5404
2017,Quebec,377837
2017,Saskatchewan,145909
2017,Yukon,5454
2018,Alberta,744592
2018,British Columbia,297118
2018,Canada,2505162
2018,Manitoba,83149
2018,New Brunswick,37337
2018,Newfoundland and Labrador,70506
2018,Northwest Territories,14383
2018,Nova Scotia,44776
2018,Nunavut,9279
2018,Ontario,661304
2018,Prince Edward Island,5509
2018,Quebec,384097
2018,Saskatchewan,147288
2018,Yukon,5826
2019,Alberta,736677
2019,British Columbia,310003
2019,Canada,2534378
2019,Manitoba,84348
2019,New Brunswick,37125
2019,Newfoundland and Labrador,71795
2019,Northwest Territories,13710
2019,Nova Scotia,45398
2019,Nunavut,9888
2019,Ontario,675608
2019,Prince Edward Island,5614
2019,Quebec,391117
2019,Saskatchewan,147116
2019,Yukon,5982
2020,Alberta,718484
2020,British Columbia,321232
2020,Canada,2534987
2020,Manitoba,84149
2020,New Brunswick,36780
2020,Newfoundland and Labrador,71947
2020,Northwest Territories,12849
2020,Nova Scotia,45443
2020,Nunavut,9684
2020,Ontario,683809
2020,Prince Edward Island,5711
2020,Quebec,394945
2020,Saskatchewan,144134
2020,Yukon,5819
2021,Alberta,705884
2021,British Columbia,334625
2021,Canada,2549886
2021,Manitoba,83350
2021,New Brunswick,36539
2021,Newfoundland and Labrador,70852
2021,Northwest Territories,12160
2021,Nova Scotia,45724
2021,Nunavut,9625
2021,Ontario,696582
2021,Prince Edward Island,5925
2021,Quebec,401632
2021,Saskatchewan,141192
2021,Yukon,5797
2022,Alberta,702545
2022,British Columbia,349644
2022,Canada,2575311
2022,Manitoba,82480
2022,New Brunswick,36706
2022,Newfoundland and Labrador,69854
2022,Northwest Territories,11654
2022,Nova Scotia,45983
2022,Nunavut,9641
2022,Ontario,706610
2022,Prince Edward Island,6091
2022,Quebec,408792
2022,Saskatchewan,139262
2022,Yukon,6048
2023,Alberta,698421
2023,British Columbia,368032
2023,Canada,2605937
2023,Manitoba,81582
2023,New Brunswick,36748
2023,Newfoundland and Labrador,69612
2023,Northwest Territories,11292
2023,Nova Scotia,46407
2023,Nunavut,9840
2023,Ontario,715757
2023,Prince Edward Island,6215
2023,Quebec,416781
2023,Saskatchewan,138982
2023,Yukon,6269
