Year,GEO,Y
2015,Canada,2091469
2016,Canada,2101103
2017,Canada,2170094
2018,Canada,2228262
2019,Canada,2257230
2020,Canada,2164051
2021,Canada,2302441
2022,Canada,2379170
2023,Canada,2405571
2015,Newfoundland and Labrador,37475
2016,Newfoundland and Labrador,38590
2017,Newfoundland and Labrador,35557
2018,Newfoundland and Labrador,34249
2019,Newfoundland and Labrador,35074
2020,Newfoundland and Labrador,33216
2021,Newfoundland and Labrador,33522
2022,Newfoundland and Labrador,34244
2023,Newfoundland and Labrador,35482
2015,Prince Edward Island,7316
2016,Prince Edward Island,7561
2017,Prince Edward Island,7950
2018,Prince Edward Island,8123
2019,Prince Edward Island,8444
2020,Prince Edward Island,8375
2021,Prince Edward Island,9151
2022,Prince Edward Island,9315
2023,Prince Edward Island,9401
2015,Nova Scotia,52475
2016,Nova Scotia,53480
2017,Nova Scotia,54532
2018,Nova Scotia,55809
2019,Nova Scotia,57201
2020,Nova Scotia,55786
2021,Nova Scotia,59580
2022,Nova Scotia,61395
2023,Nova Scotia,62242
2015,New Brunswick,39491
2016,New Brunswick,40003
2017,New Brunswick,41609
2018,New Brunswick,42752
2019,New Brunswick,42732
2020,New Brunswick,42151
2021,New Brunswick,44336
2022,New Brunswick,45961
2023,New Brunswick,46467
2015,Quebec,408179
2016,Quebec,414406
2017,Quebec,431558
2018,Quebec,445169
2019,Quebec,455495
2020,Quebec,440934
2021,Quebec,474242
2022,Quebec,488690
2023,Quebec,487555
2015,Ontario,781916
2016,Ontario,795465
2017,Ontario,823285
2018,Ontario,850111
2019,Ontario,861669
2020,Ontario,826151
2021,Ontario,876703
2022,Ontario,904895
2023,Ontario,911581
2015,Manitoba,73665
2016,Manitoba,73891
2017,Manitoba,76405
2018,Manitoba,77545
2019,Manitoba,78038
2020,Manitoba,74752
2021,Manitoba,78035
2022,Manitoba,80674
2023,Manitoba,82385
2015,Saskatchewan,76328
2016,Saskatchewan,73677
2017,Saskatchewan,75740
2018,Saskatchewan,76296
2019,Saskatchewan,74972
2020,Saskatchewan,69707
2021,Saskatchewan,72755
2022,Saskatchewan,75354
2023,Saskatchewan,77634
2015,Alberta,319419
2016,Alberta,299754
2017,Alberta,306425
2018,Alberta,310233
2019,Alberta,304336
2020,Alberta,281112
2021,Alberta,297707
2022,Alberta,312459
2023,Alberta,318014
2015,British Columbia,279559
2016,British Columbia,289631
2017,British Columbia,301933
2018,British Columbia,311789
2019,British Columbia,323694
2020,British Columbia,317912
2021,British Columbia,343369
2022,British Columbia,353910
2023,British Columbia,362779
2015,Yukon,3681
2016,Yukon,3734
2017,Yukon,3864
2018,Yukon,4302
2019,Yukon,4150
2020,Yukon,3902
2021,Yukon,4236
2022,Yukon,4564
2023,Yukon,4560
2015,Northwest Territories,5819
2016,Northwest Territories,5671
2017,Northwest Territories,5282
2018,Northwest Territories,5331
2019,Northwest Territories,5207
2020,Northwest Territories,5044
2021,Northwest Territories,5264
2022,Northwest Territories,5437
2023,Northwest Territories,5586
2015,Nunavut,3727
2016,Nunavut,3786
2017,Nunavut,4348
2018,Nunavut,4990
2019,Nunavut,4787
2020,Nunavut,4068
2021,Nunavut,4460
2022,Nunavut,4473
2023,Nunavut,4715
